ID,YearQrtr,Asset Growth Rate ,Gross Loans/ Assets ,Deposit Growth Rate ,Loans/ Deposits ,Interest Income/ Avg Assets ,Interest Expense/ Average Assets ,Net Interest Income/ Avg Assets ,Noninterest Income/ Average Assets ,Net Interest Margin ,Yield/ Cost Spread ,Operating Expense/ Operating Revenue ,Risk Based Capital Ratio ,Equity/ Assets ,Reserves/ NPAs ,Yield on Loans and Leases ,Cost of Funds , Change in Assets , Change in Deposits ,Net Chargeoffs/ Avg Loans ,Yield on Earning Assets ,Cost of Interest-bearing Liabilities ,Yield/ Cost Spread ,Yield on Securities & Other Assets ,Yield on Debt and Equity Securities ,Yield on Other Assets ,Cost of Int-bearing Deposits ,Cost of Borrowings ,Cost of Time Deposits > $250K ,Cost of Other Time Deposits ,Earning Assets/ IBL ,Liquidity Ratio ,Liquid Assets/ Assets ,One Year Gap/ Assets ,Asset-weighted Securities & Other Yield ,Asset-weighted Loan Yield ,Asset-weighted Securities Yield ,Liab-weigh Cost of Int-bear Dep ,Liability-wtd Borrowing Cost ,Asset-weighted Other Asset Yield ,ROAA ,U.S.Avg Rate _1Yr10K_CD,U.S.Avg Rate _5Yr10K_CD
BNk40,2007Q1,13.25,80.07,6.69,100.15,6.62,2.85,3.77,0.81,3.98,3.25,50.07,10.36,8.61,204.76,7.29,3.13,3.31,1.67,0.16,6.99,3.74,3.25,4.92,4.16,15,3.55,5.04,4.82,4.2,121.96,6.05,5.53,17.13,0.64,6.34,0.5,3.09,0.66,0.15,1.65,3.5,4
BNk41,2007Q1,-19.44,67.52,-6.59,79.88,6.52,1.98,4.54,0.34,5.01,4.06,50.29,11.23,10.44,,8.1,2.22,-4.86,-1.65,0.06,7.2,3.14,4.06,4.8,4.25,18,2.93,5.04,4.15,4.67,145.15,17.78,15.93,13.8,1.3,5.91,1.11,2.63,0.5,0.18,1.42,,
BNk42,2007Q1,2.19,56.2,-0.01,83.06,5.22,2.29,2.93,0.89,3.17,2.81,70.98,14.93,8.36,685.3,6.37,2.52,0.55,0,0.06,5.65,2.84,2.81,4.54,,8.38,2.11,4.67,,,114.82,42.12,38.6,,1.77,3.89,,1.5,1.35,1.76,0.68,1.65,3.1
BNk43,2007Q1,-1.94,74.44,-1.6,83.67,7.15,2.65,4.5,0.56,5.23,5.02,69.98,9.65,6.3,672.5,9.03,2.84,-0.49,-0.4,0.03,8.31,3.28,5.02,4.76,4.62,5.67,3.27,3.49,4.91,4.61,113.59,14.55,13.64,-2.62,0.81,7.49,0.65,3.14,0.14,0.17,0.92,5,4.64
BNk44,2007Q1,-5.25,58.5,26.34,91.85,6.4,4.1,2.3,2.1,2.51,1.99,85.45,17.26,8.34,231.33,8.23,4.54,-1.31,6.58,0.16,7.01,5.01,1.99,4.98,4.9,6.33,4.76,5.45,5.02,5.06,112.95,8.15,7.47,-0.4,1.89,5.1,1.72,3.05,1.96,0.19,0.56,,
BNk45,2007Q1,-2.17,72.47,0.55,86.18,7.02,3.37,3.65,0.9,3.98,3.59,61.54,12.21,8.97,252.77,8.43,3.9,-0.54,0.14,0.07,7.66,4.07,3.59,4.77,4.74,4.8,4.08,4,5.08,4.8,105.23,12.78,11.63,14.81,1,6.66,0.76,3.63,0.44,0.24,1,4.5,5.13
BNk46,2007Q1,-1.98,67.73,14.55,78.53,5.53,2.83,2.71,1.47,2.99,2.49,92.04,14.73,9.61,296.01,6.79,3.13,-0.49,3.64,0.06,6.12,3.63,2.49,4.16,4.15,6,3.48,6.79,5.01,4.06,113.98,4.36,3.94,-12.2,1.08,5.02,1.04,3.34,0.27,0.06,0.19,4.5,3.75
BNk47,2007Q1,8.64,52.51,5.4,65.44,5.49,2.77,2.72,0.57,2.86,2.13,59.05,18.29,13.1,,6.89,3.42,2.16,1.35,0.01,5.78,3.65,2.13,4.42,4.47,2,3.58,4.5,4.91,4.29,117.52,28.35,24.64,-1.96,1.99,3.79,1.97,3.33,0.32,0.02,1.2,,
BNk48,2007Q1,21.91,91.35,36.7,113.93,6.22,3.86,2.38,0.11,2.43,1.88,65.32,26.83,13.38,20.21,6.5,4.49,5.48,9.18,0,6.37,4.49,1.88,4.22,,-0.13,4.37,5.8,,,113.36,7.54,6.53,,0.25,6.11,,4.02,0.46,0.26,0.44,,
BNk49,2007Q1,-43.23,69.57,-39.37,79.96,6.36,2.16,4.2,2.01,4.66,4.52,73.23,10.35,7.9,227.92,7.99,1.96,-10.81,-9.84,0.15,7.05,2.54,4.52,4.49,4.27,6,2.46,3.96,4.71,4.16,141.87,6.84,6.3,14.76,1.21,5.83,0.98,2.34,0.2,0.24,1,,
